iter	Passed	Remaining
0	194	97120
1	201	50056
2	206	34253
3	212	26364
4	216	21453
5	222	18345
6	228	16059
7	233	14381
8	239	13054
9	245	12044
10	251	11170
11	256	10431
12	261	9813
13	267	9270
14	271	8790
15	276	8373
16	281	8006
17	286	7677
18	291	7371
19	295	7103
20	301	6865
21	305	6648
22	310	6442
23	315	6259
24	320	6086
25	325	5935
26	330	5782
27	334	5646
28	338	5496
29	343	5378
30	348	5267
31	352	5158
32	357	5054
33	362	4963
34	366	4869
35	371	4782
36	375	4701
37	380	4626
38	385	4551
39	389	4483
40	394	4412
41	398	4349
42	403	4289
43	408	4231
44	413	4176
45	417	4122
46	422	4072
47	427	4021
48	431	3974
49	436	3925
50	440	3878
51	445	3834
52	449	3789
53	453	3749
54	458	3708
55	462	3669
56	467	3630
57	471	3592
58	475	3557
59	480	3523
60	484	3490
61	489	3460
62	494	3428
63	498	3396
64	502	3364
65	507	3338
66	512	3311
67	516	3284
68	521	3256
69	526	3236
70	531	3210
71	535	3184
72	540	3159
73	544	3136
74	549	3112
75	553	3088
76	558	3066
77	562	3044
78	567	3023
79	571	3000
80	576	2981
81	581	2961
82	585	2942
83	590	2923
84	595	2907
85	600	2889
86	604	2871
87	609	2851
88	613	2832
89	618	2815
90	622	2799
91	627	2781
92	631	2761
93	636	2747
94	640	2731
95	644	2714
96	649	2698
97	654	2682
98	657	2664
99	662	2650
100	666	2634
101	670	2617
102	675	2604
103	680	2590
104	684	2575
105	688	2560
106	693	2546
107	697	2530
108	701	2517
109	706	2505
110	711	2491
111	715	2479
112	720	2466
113	724	2453
114	728	2438
115	732	2425
116	737	2413
117	741	2401
118	746	2388
119	750	2376
120	755	2365
121	760	2355
122	764	2343
123	769	2332
124	774	2323
125	779	2312
126	784	2303
127	789	2293
128	794	2284
129	798	2273
130	803	2263
131	809	2257
132	814	2247
133	819	2237
134	824	2227
135	827	2215
136	832	2204
137	836	2193
138	840	2183
139	845	2174
140	850	2165
141	855	2156
142	860	2147
143	864	2137
144	868	2126
145	873	2117
146	878	2109
147	883	2100
148	887	2091
149	892	2082
150	897	2073
151	902	2065
152	906	2056
153	911	2047
154	916	2039
155	920	2030
156	925	2022
157	929	2013
158	934	2003
159	939	1995
160	943	1986
161	948	1978
162	952	1969
163	956	1960
164	961	1952
165	966	1944
166	970	1936
167	975	1927
168	979	1919
169	984	1910
170	989	1903
171	994	1896
172	998	1887
173	1003	1879
174	1007	1871
175	1012	1863
176	1016	1855
177	1021	1848
178	1026	1840
179	1031	1833
180	1036	1826
181	1040	1818
182	1045	1810
183	1050	1803
184	1055	1796
185	1059	1789
186	1064	1781
187	1069	1775
188	1074	1767
189	1078	1759
190	1082	1751
191	1087	1744
192	1092	1737
193	1096	1728
194	1100	1720
195	1104	1713
196	1109	1706
197	1113	1699
198	1117	1690
199	1122	1683
200	1126	1675
201	1130	1668
202	1134	1660
203	1140	1654
204	1144	1647
205	1148	1639
206	1154	1633
207	1157	1625
208	1162	1617
209	1166	1611
210	1170	1603
211	1175	1596
212	1180	1590
213	1185	1583
214	1188	1575
215	1192	1568
216	1197	1561
217	1202	1554
218	1206	1547
219	1210	1540
220	1215	1534
221	1220	1527
222	1224	1520
223	1229	1514
224	1234	1508
225	1238	1501
226	1242	1494
227	1247	1488
228	1252	1481
229	1256	1474
230	1261	1468
231	1265	1462
232	1269	1454
233	1273	1447
234	1278	1441
235	1282	1434
236	1286	1427
237	1290	1420
238	1294	1414
239	1299	1408
240	1305	1403
241	1311	1398
242	1317	1393
243	1323	1388
244	1329	1383
245	1335	1379
246	1341	1374
247	1347	1369
248	1354	1365
249	1360	1360
250	1366	1356
251	1372	1350
252	1378	1345
253	1384	1340
254	1390	1335
255	1395	1329
256	1400	1323
257	1405	1318
258	1410	1312
259	1415	1306
260	1421	1301
261	1426	1296
262	1432	1290
263	1437	1285
264	1443	1279
265	1448	1273
266	1453	1268
267	1458	1262
268	1463	1256
269	1469	1251
270	1474	1246
271	1479	1240
272	1485	1235
273	1490	1229
274	1495	1223
275	1501	1218
276	1506	1212
277	1511	1207
278	1516	1201
279	1522	1196
280	1527	1190
281	1533	1185
282	1539	1180
283	1544	1174
284	1549	1168
285	1555	1163
286	1560	1158
287	1566	1152
288	1572	1147
289	1577	1142
290	1582	1136
291	1589	1132
292	1594	1126
293	1601	1122
294	1608	1117
295	1613	1112
296	1620	1107
297	1626	1102
298	1632	1097
299	1637	1091
300	1642	1086
301	1648	1080
302	1653	1075
303	1659	1069
304	1664	1064
305	1669	1058
306	1675	1053
307	1680	1047
308	1684	1041
309	1688	1034
310	1693	1029
311	1698	1023
312	1702	1017
313	1708	1012
314	1713	1006
315	1719	1001
316	1725	996
317	1731	990
318	1736	985
319	1741	979
320	1747	974
321	1752	968
322	1757	963
323	1763	957
324	1768	952
325	1773	946
326	1779	941
327	1784	935
328	1790	930
329	1795	925
330	1801	919
331	1806	914
332	1812	908
333	1818	903
334	1823	898
335	1828	892
336	1834	887
337	1839	881
338	1844	876
339	1850	870
340	1855	864
341	1860	859
342	1865	853
343	1870	848
344	1875	842
345	1879	836
346	1884	830
347	1888	825
348	1893	819
349	1897	813
350	1902	807
351	1907	801
352	1912	796
353	1917	790
354	1920	784
355	1926	779
356	1932	773
357	1937	768
358	1942	762
359	1947	757
360	1952	751
361	1958	746
362	1962	740
363	1968	735
364	1972	729
365	1978	724
366	1983	718
367	1988	713
368	1994	707
369	1999	702
370	2004	696
371	2009	691
372	2015	686
373	2020	680
374	2026	675
375	2031	669
376	2036	664
377	2040	658
378	2045	653
379	2050	647
380	2054	641
381	2059	636
382	2064	630
383	2069	625
384	2075	619
385	2080	614
386	2085	608
387	2090	603
388	2095	598
389	2102	592
390	2107	587
391	2112	582
392	2117	576
393	2121	570
394	2126	565
395	2131	559
396	2135	554
397	2140	548
398	2144	542
399	2149	537
400	2154	531
401	2158	526
402	2162	520
403	2167	514
404	2171	509
405	2176	503
406	2180	498
407	2184	492
408	2188	486
409	2193	481
410	2197	475
411	2201	470
412	2206	464
413	2210	459
414	2213	453
415	2218	447
416	2222	442
417	2259	443
418	2263	437
419	2266	431
420	2268	425
421	2272	420
422	2278	414
423	2284	409
424	2291	404
425	2297	399
426	2303	393
427	2309	388
428	2316	383
429	2322	378
430	2329	372
431	2334	367
432	2341	362
433	2346	356
434	2352	351
435	2357	345
436	2362	340
437	2366	335
438	2371	329
439	2376	324
440	2382	318
441	2387	313
442	2393	307
443	2398	302
444	2404	297
445	2410	291
446	2427	287
447	2440	283
448	2461	279
449	2515	279
450	2553	277
451	2586	274
452	2610	270
453	2631	266
454	2642	261
455	2651	255
456	2658	250
457	2669	244
458	2677	239
459	2684	233
460	2691	227
461	2697	221
462	2704	216
463	2711	210
464	2717	204
465	2723	198
466	2729	192
467	2734	186
468	2740	181
469	2746	175
470	2751	169
471	2759	163
472	2766	157
473	2772	152
474	2780	146
475	2786	140
476	2792	134
477	2799	128
478	2805	123
479	2812	117
480	2817	111
481	2824	105
482	2831	99
483	2837	93
484	2846	88
485	2851	82
486	2857	76
487	2862	70
488	2868	64
489	2873	58
490	2879	52
491	2885	46
492	2891	41
493	2897	35
494	2903	29
495	2909	23
496	2915	17
497	2921	11
498	2927	5
499	2932	0
